"regulation_type","name","total_count","genes_in_term","regulated_count","regulated_genes","gene_set","expected_count","fold_enrichment","p_value","p_adj"
"up","'de novo' AMP biosynthetic process",7,"ADSL;ADSS1;ADSS2;ATIC;PAICS;PFAS;PPAT",1,"ADSS1","up",0.601233493510916,1.66324732536186,0.46672020389786,1
"up","2-oxoglutarate metabolic process",17,"AADAT;ADHFE1;COL6A1;D2HGDH;DLD;DLST;GOT1;GOT2;GPT2;IDH1;IDH2;KYAT3;L2HGDH;OGDH;OGDHL;PHYH;TAT",3,"COL6A1;IDH2;OGDH","up",1.4601384842408,2.05459963721171,0.174808408288723,1
"up","3'-UTR-mediated mRNA destabilization",19,"CPEB3;DHX36;DND1;HNRNPD;KHSRP;MOV10;PLEKHN1;PUM1;PUM2;RBM24;RC3H1;TARDBP;TRIM71;UPF1;ZC3H12A;ZC3H12D;ZFP36;ZFP36L1;ZFP36L2",1,"MOV10","up",1.63191948238677,0.612775330396476,0.818572933097172,1
"up","3'-UTR-mediated mRNA stabilization",16,"ANGEL2;DAZL;ELAVL1;ELAVL4;HNRNPA0;HNRNPC;MAPK14;MAPKAPK2;MYD88;RBM10;RBM38;RBM47;TARDBP;TIRAP;YBX3;ZFP36",1,"RBM47","up",1.37424798516781,0.727670704845815,0.762432947927651,1
"up","3'-phosphoadenosine 5'-phosphosulfate metabolic process",13,"ABHD14B;ENPP1;SULT1A1;SULT1A2;SULT1A3;SULT1B1;SULT1C3;SULT1C4;SULT1E1;SULT2A1;SULT2B1;TPST1;TPST2",1,"ENPP1","up",1.11657648794884,0.895594713656388,0.688931220928704,1
"up","AMP salvage",5,"ADA;ADK;ADSL;APRT;HPRT1",1,"ADA","up",0.42945249536494,2.32854625550661,0.361772266029451,1
"up","AMPA glutamate receptor clustering",5,"APOE;CHRDL1;DLG4;NLGN1;SHANK3",2,"APOE;CHRDL1","up",0.42945249536494,4.65709251101322,0.06188053427347,1
"up","ATP export",10,"ANKH;CALHM1;CALHM2;CALHM3;CALHM4;CALHM5;CALHM6;CD47;CR1;SLC17A9",2,"ANKH;CD47","up",0.85890499072988,2.32854625550661,0.209857920808297,1
"up","ATP metabolic process",32,"ABCC6;ABCC9;AK1;AK2;AK4;AK4P3;AK5;AMPD2;ATP1A2;ATP1B1;ATP6V1B1;ATP6V1B2;BAD;BLOC1S6;CLPX;ENPP1;ENPP3;FIGNL1;HSPA1A;HSPA1B;HSPA8;MYH3;MYH4;MYH6;MYH7;MYH8;NADK;NT5E;OLA1;SELENON;SLC25A25;VCP",1,"ENPP1","up",2.74849597033562,0.363835352422907,0.943613301825607,1
"up","B cell apoptotic process",8,"BAK1;BCL10;BCL2;FNIP1;PDCD1;PKN1;TNFRSF21;TRAF3IP2",1,"TNFRSF21","up",0.687123992583904,1.45534140969163,0.512536006530206,1
"up","B cell differentiation",65,"ADAM17;ADGRG3;AICDA;AQP8;BLNK;CARD11;CD40LG;CD79A;CD79B;CEBPG;CLCF1;CR2;DCAF1;DCLRE1C;DNAJB9;EP300;EZH2;FLT3;FLT3LG;FNIP1;FZD9;GPS2;HDAC4;HDAC5;HDAC9;HHEX;IKZF3;IL10;IL11;IL4;IL9;ITGA4;ITGB1;JAK3;KLF6;LYL1;MS4A1;MSH2;NFAM1;NHEJ1;NTRK1;ONECUT1;PAX5;PIK3R1;PIK3R2;PIK3R3;PLCG2;PTPN2;PTPRC;PTPRJ;RAG1;RAG2;RBPJ;SLC25A5;SLC39A7;SP3;STAT5B;SYK;TCF3;TOP2B;TPD52;VCAM1;YY1;ZBTB1;ZBTB7A",2,"ITGA4;PIK3R3","up",5.58288243974422,0.358237885462555,0.979376057557493,1
"up","B cell homeostasis",23,"BAK1;BBIP1;BBS4;BCL2;BCL2L11;CAMLG;CASP3;DOCK10;DOCK11;FOXP3;IL7R;MEF2C;NCKAP1L;PKN1;PPP2R3C;RC3H1;RC3H2;SASH3;SOS1;SOS2;TNFRSF13B;TNFSF13B;TRAF3IP2",1,"DOCK11","up",1.97548147867872,0.506205707718828,0.873360770710837,1
"up","B cell proliferation",30,"ADA;BCL2;BCL6;CARD11;CD38;CD40;CD40LG;CD70;CD79A;CR2;CTPS1;HSPD1;IFNB1;IGHE;IL10;IL7;IL7R;IL9;LEF1;MEF2C;MS4A1;NFKBIZ;PRKCD;PTPRC;RASGRP1;SASH3;SHB;TICAM1;TNFSF13B;WNT3A",1,"ADA","up",2.57671497218964,0.388091042584435,0.932504546864513,1
