Gene names;WT1 SN F;WT2 SN F;WT3 SN F;HET1 SN F;HET2 SN F;HET3 SN F;MUT1 SN F;MUT2 SN F;MUT3 SN F;WT1 SN M;WT2 SN M;WT3 SN M;HET1 SN M;HET2 SN M;HET3 SN M;MUT1 SN M;MUT2 SN M;MUT3 SN M; T-test Difference HET SN F vs WT SN F;-Log  T-test p-value HET SN F vs WT SN F; T-test q-value HET SN F vs WT SN F; T-test Difference MUT SN F vs WT SN F;-Log  T-test p-value MUT SN F vs WT SN F; T-test q-value MUT SN F vs WT SN F; T-test Difference HET SN M vs WT SN M;-Log  T-test p-value HET SN M vs WT SN M; T-test q-value HET SN M vs WT SN M; T-test Difference MUT SN M vs WT SN M;-Log  T-test p-value MUT SN M vs WT SN M; T-test q-value MUT SN M vs WT SN M; T-test significant;Peptides;Razor + unique peptides;Unique peptides;Sequence coverage [%];Unique + razor sequence coverage [%];Unique sequence coverage [%];Mol. weight [kDa];Q-value;Score;Intensity;MS/MS count;iBAQ;Protein IDs;Majority protein IDs;Protein names
Gng13;1,744808197;1,655889511;1,652168751;2,213297844;2,249969482;2,201139927;2,198914051;1,790183544;2,342113018;2,308145523;2,067078114;1,807760715;2,092373848;1,696159363;1,775207996;2,095226288;2,159157753;1,996247292;0,537180265;4,045766721;0,267;0,426114718;1,191523698;0,35032381;-0,206414382;0,474943817;0,785882548;0,022548993;0,050959168;0,989883212;;5;5;5;52,2;52,2;52,2;7,9793;0;12,611;1471300000;9;294260000;Q9JMF3;Q9JMF3;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-13
Canx;3,186606407;3,204174042;3,245279789;3,489210129;3,486905098;3,485571384;3,331592083;3,158411503;3,446584225;3,467186928;3,33779192;3,30345583;3,314865112;3,196169853;3,177299023;3,336527824;3,374277115;3,371747017;0,275208791;4,027976331;0,545238095;0,100175858;0,513501684;0,71969697;-0,140033563;0,99710143;0,751760171;-0,008627574;0,058168399;0,990231371;;13;13;13;24,7;24,7;24,7;67,277;0;44,886;9007200000;26;281470000;P35564;P35564;Calnexin
Tfam;0,2056427;0,200814247;0,19007349;0,434941292;0,39044857;0,425942898;0,674497128;0,4313941;0,466551304;0,699975967;0,390001774;0,127170086;0,17747879;0,102051735;0,373505116;0,436105728;0,438044548;0,559646606;0,218267441;3,963989541;0,652252632;0,325304031;1,891358547;0,349302857;-0,188037395;0,437505756;0,800630015;0,072216352;0,158835605;0,980025963;;6;6;6;25,9;25,9;25,9;27,987;0;9,1958;1509800000;8;88813000;"P40630;A0A0R4J1N9;D3Z0F3";"P40630;A0A0R4J1N9;D3Z0F3";Transcription factor A, mitochondrial
;-3,151136398;-3,152019501;-3,319833279;-2,380786896;-2,456695557;-2,494411945;-2,979203701;-3,189518452;-3,340775013;-2,974599838;-2,832069874;-3,232246876;-2,373309135;-2,653753281;-3,263127804;-2,411222458;-3,125323296;-2,460553169;0,76369826;3,515173671;0,22;0,037830671;0,115617292;0,909414864;0,249575456;0,362073094;0,806214543;0,347272555;0,602034211;0,990447154;;1;1;1;4,2;4,2;4,2;38,011;0;3,6973;26757000;1;1672300;Q9D6W8;Q9D6W8;Uncharacterized protein C17orf59 homolog
Map7d1;-0,639090538;-0,6443367;-0,71220541;-0,389778137;-0,377129555;-0,40553236;-0,249033451;-0,606434345;-0,688352108;-0,795245171;-0,434893131;-0,578423023;-0,436048508;-0,313080788;-0,634232044;-0,603672981;-0,587305069;-0,418992043;0,274397532;3,411459061;0,528206897;0,150604248;0,477435612;0,660671484;0,141733329;0,431852264;0,830677124;0,066197077;0,213813929;0,973153879;;6;6;6;8,3;8,3;8,3;93,275;0;7,1237;191220000;6;5794500;"A2AJI0;A8Y5P4;F6WF36;A2AJI1";"A2AJI0;A8Y5P4;F6WF36;A2AJI1";MAP7 domain-containing protein 1
Dlg5;-2,283025742;-2,299551964;-2,401085377;-1,836737633;-1,716497421;-1,713913441;-1,795216084;-1,953006268;-1,676664829;-1,746730804;-1,557405949;-2,204074383;-2,332834244;-2,035210609;-2,172143459;-2,002983093;-1,708633423;-2,236122131;0,572171529;3,322689452;0,304;0,519591967;2,382837305;0,30152381;-0,343992392;0,751301821;0,687222642;-0,146509171;0,234790433;0,960862534;;2;2;2;1,5;1,5;1,5;174,58;0;3,4168;60470000;2;687160;"F6YZU5;E9Q9I2;E9Q9R9";"F6YZU5;E9Q9I2;E9Q9R9";
Bcan;1,997491837;2,039028168;1,974134922;2,481789589;2,358498573;2,447368145;2,218337536;2,088276386;2,283884525;2,362044334;2,349483967;1,980723858;2,201682091;2,087506294;2,124945164;2,422884941;2,171691895;2,227201462;0,425667127;3,299382401;0,438769231;0,193281174;1,479884744;0,400515581;-0,092706203;0,289340499;0,87716534;0,043175379;0,106352428;0,992872727;;16;16;16;26,8;26,8;26,8;95,814;0;120,14;3933600000;29;95942000;"Q61361;A0A0A6YW95";Q61361;Brevican core protein
Cdc42bpa;0,37183857;0,379520416;0,321859837;0,508962631;0,529393196;0,534816265;0,172242641;0,39096117;0,279308796;0,455530167;0,304431438;0,402991772;0,012195587;0,12019062;0,3365798;0,328228951;0,4556427;0,293437958;0,16665109;2,969295289;0,847073171;-0,076902072;0,513363068;0,767640249;-0,231329123;1,033137584;0,688229249;-0,028547923;0,161880381;0,993662953;;8;6;6;5,2;4,1;4,1;195,53;0;12,208;406380000;6;5017100;"Q3UU96;H7BX44;D3YYN8;E9PVY0;A0A1D5RLQ9;F6YZJ7;F6S5Z6;F6Q5A5;F6W0C2;A0A0A6YXJ5";"Q3UU96;H7BX44;D3YYN8;E9PVY0;A0A1D5RLQ9;F6YZJ7;F6S5Z6;F6Q5A5";"Serine/threonine-protein kinase MRCK alpha;Non-specific serine/threonine protein kinase"
Mlec;-1,61877346;-1,611756325;-1,484060764;-2,185721397;-2,0884552;-2,01299715;-1,858215809;-2,207969189;-1,670372486;-1,499490738;-2,035101414;-1,62456274;-2,290262222;-1,710460663;-1,66970396;-1,675429344;-1,468952179;-2,241932869;-0,5241944;2,854881619;0,391666667;-0,340655645;0,976388283;0,372838602;-0,170423985;0,264135963;0,851760847;-0,075719833;0,096024663;0,99000145;;3;3;3;13,1;13,1;13,1;32,342;0;4,4715;375130000;3;23446000;Q6ZQI3;Q6ZQI3;Malectin
Ppp6r3;-0,209849358;-0,216191292;-0,273878574;-0,397245407;-0,443815231;-0,429291248;-0,532818317;-0,482321262;-0,185215473;-0,315526009;-0,222423077;-0,285236835;-0,296031952;-0,60282135;-0,319271564;-0,254331589;-0,873087883;-0,600787163;-0,190144221;2,822809044;0,806492147;-0,166811943;0,688045806;0,565730104;-0,131646315;0,572194256;0,803528041;-0,301673571;0,766627747;0,975608247;;5;5;5;8,1;8,1;8,1;94,652;0;10,117;161330000;5;3751900;"Q922D4;G5E8R4";"Q922D4;G5E8R4";Serine/threonine-protein phosphatase 6 regulatory subunit 3
